season,month,0
25,11,97.87007
25,12,24.30583
26,1,24.478764
26,2,31.688627
26,3,45.832767
26,4,66.39271
26,5,86.3406
26,6,101.24535
26,7,109.93392
26,8,122.56069
26,9,135.52846
26,10,128.09563
26,11,91.397545
26,12,29.72947
27,1,22.606674
27,2,28.479744
27,3,40.032867
27,4,59.280346
27,5,83.46067
27,6,97.76632
27,7,113.7121
27,8,125.5123
27,9,143.44675
27,10,142.9088
27,11,106.11401
27,12,36.944645
28,1,19.97172
28,2,31.581024
28,3,45.15576
28,4,62.320126
28,5,85.28498
28,6,104.91563
28,7,122.81994
28,8,133.0994
28,9,146.72061
28,10,139.81851
28,11,96.4161
28,12,35.117813
29,1,22.367807
29,2,31.686153
29,3,47.93973
29,4,67.386986
29,5,84.593506
29,6,100.913765
29,7,110.44911
29,8,127.058685
29,9,130.69867
29,10,121.70805
29,11,75.65529
29,12,31.699417
30,1,25.05485
30,2,31.424082
30,3,41.958015
30,4,58.33787
30,5,81.28789
30,6,96.728226
30,7,108.580696
30,8,115.85121
30,9,124.31788
30,10,125.543045
30,11,99.95256
30,12,35.23802
31,1,30.468258
31,2,31.83598
31,3,44.619694
31,4,65.69432
31,5,84.54174
31,6,101.525375
31,7,116.632996
31,8,124.450645
31,9,123.73374
31,10,130.7811
31,11,73.01415
31,12,17.94263
32,1,20.65052
32,2,27.173523
32,3,38.984303
32,4,57.238895
32,5,82.79242
32,6,104.58747
32,7,135.50568
32,8,163.80661
32,9,161.19775
32,10,147.74123
32,11,84.12017
32,12,20.213364
33,1,21.01383
33,2,33.651497
33,3,44.43637
33,4,63.450058
33,5,82.90924
33,6,98.40046
33,7,111.35279
33,8,125.92488
33,9,128.15472
33,10,121.76905
33,11,103.9146
33,12,36.783
34,1,21.574364
34,2,30.671751
34,3,46.01187
34,4,68.98877
34,5,91.478676
34,6,108.74644
34,7,123.52799
34,8,129.01033
34,9,136.53769
34,10,141.48248
34,11,101.9103
34,12,46.349537
35,1,35.50967
35,2,42.18833
35,3,53.093872
35,4,71.62398
35,5,89.83645
35,6,101.9938
35,7,116.942024
35,8,129.47012
35,9,129.80844
35,10,132.52776
35,11,102.6322
35,12,22.908602
36,1,20.556416
36,2,29.875963
36,3,42.929195
36,4,61.250957
36,5,78.884735
36,6,96.04336
36,7,109.010414
36,8,121.68842
36,9,137.72685
36,10,138.25797
36,11,107.73411
36,12,40.657143
37,1,23.457113
37,2,34.89965
37,3,44.026264
37,4,63.338833
37,5,86.012505
37,6,97.88234
37,7,112.19761
37,8,130.2634
37,9,131.08626
37,10,115.72789
37,11,57.47699
37,12,34.723434
38,1,25.294315
38,2,35.427097
38,3,46.892654
38,4,63.30395
38,5,85.21406
38,6,100.15776
38,7,111.03387
38,8,119.28047
38,9,127.532875
38,10,128.21182
38,11,92.49912
38,12,24.862844
39,1,25.060997
39,2,30.464138
39,3,44.903393
39,4,61.51348
39,5,85.93878
39,6,107.90803
39,7,122.10684
39,8,137.7376
39,9,150.31375
39,10,162.12117
39,11,100.77371
39,12,23.121946
40,1,21.416212
40,2,29.393307
40,3,44.90381
40,4,70.993904
40,5,100.76175
40,6,115.54653
40,7,132.68982
40,8,142.30011
40,9,176.7292
40,10,164.97652
40,11,108.99079
40,12,26.621859
41,1,21.077715
41,2,29.266443
41,3,38.54814
41,4,54.671616
41,5,75.31167
41,6,107.15466
41,7,139.06203
41,8,174.78838
41,9,167.3147
41,10,133.83635
41,11,91.79762
41,12,29.648731
42,1,27.272982
42,2,30.584229
42,3,37.85424
42,4,53.103115
42,5,66.81223
42,6,84.039894
42,7,98.93452
42,8,113.44225
42,9,122.34533
42,10,120.552086
42,11,77.55589
42,12,44.375797
43,1,28.425285
43,2,36.41352
43,3,46.046207
43,4,60.81674
43,5,75.77841
43,6,92.59206
43,7,106.45556
43,8,119.67371
43,9,143.05087
43,10,127.57452
43,11,101.75976
43,12,40.90106
44,1,24.000381
44,2,30.888723
44,3,41.15241
44,4,58.820053
44,5,75.50584
44,6,95.406845
44,7,107.927055
44,8,117.838394
44,9,133.82521
44,10,144.5409
44,11,87.32819
44,12,31.744755
45,1,26.169024
45,2,36.037193
45,3,46.34432
45,4,62.595524
45,5,78.226074
45,6,98.68537
45,7,119.56553
45,8,138.89323
45,9,141.68184
45,10,148.65079
45,11,119.3551
45,12,45.3814
46,1,19.228933
46,2,31.64113
46,3,46.714134
46,4,62.781967
46,5,80.7613
46,6,97.54435
46,7,110.674385
46,8,117.87944
46,9,121.545006
46,10,122.21081
46,11,99.81105
46,12,42.39573
47,1,27.477543
47,2,36.30343
47,3,47.04455
47,4,64.10109
47,5,81.385994
47,6,96.95711
47,7,110.17861
47,8,121.042076
47,9,123.957
47,10,120.528915
47,11,89.03777
47,12,23.027254
48,1,21.697851
48,2,33.16032
48,3,45.07692
48,4,62.6899
48,5,80.042244
48,6,96.653175
48,7,109.91034
48,8,117.63092
48,9,123.668816
48,10,123.281845
48,11,112.83187
48,12,38.19389
49,1,22.344416
49,2,32.638897
49,3,43.407047
49,4,63.29964
49,5,85.90877
49,6,107.82819
49,7,135.157
49,8,141.28128
49,9,164.66843
49,10,140.34183
49,11,92.93764
49,12,40.36114
50,1,31.382006
50,2,38.15815
50,3,48.123955
50,4,66.71117
50,5,85.99334
50,6,102.03524
50,7,120.298416
50,8,136.0472
50,9,146.82718
50,10,146.03667
50,11,117.72253
50,12,49.8365
51,1,32.51346
51,2,38.94309
51,3,51.81836
51,4,72.59935
51,5,87.10793
51,6,103.876335
51,7,114.48019
51,8,129.93295
51,9,139.02174
51,10,126.62344
51,11,72.84341
51,12,22.149158
52,1,21.230406
52,2,28.344814
52,3,36.532173
52,4,51.246174
52,5,70.665215
52,6,94.42604
52,7,118.218155
52,8,138.01703
52,9,143.78777
52,10,138.37349
52,11,111.728615
52,12,36.59937
53,1,27.228004
53,2,34.46841
53,3,48.438683
53,4,64.690605
53,5,85.67131
53,6,108.61037
53,7,123.37761
53,8,141.0297
53,9,151.0127
53,10,158.26518
53,11,114.592094
53,12,36.721027
