time,DJF,JJA,MAM,SON
1965,10.809509225813002,64.36960359542995,28.70123701684697,78.7645131205664
1966,11.103195337060292,66.37878366892396,30.05179593173514,71.89559755022279
1967,10.815427038582628,62.237634113342466,31.96491488889173,73.68954059890463
1968,12.566641234696739,72.41742821702614,34.49776821204926,76.17469964117416
1969,9.660071861213185,65.1929915693994,30.167661054516497,70.78537178051074
1970,12.677311152668395,71.37598514827307,34.862772172862215,75.79550635981445
1971,13.300416596470876,81.37315214702873,40.92965370632125,83.82204818222398
1972,11.280413838354008,67.1477912370273,30.307436379986783,67.88731427379618
1973,13.73208352438015,81.41619746966926,41.98388359023015,76.18950503552502
1974,9.806114175112091,74.6611584294015,32.77525336661983,80.00599843325809
1975,11.94683040287041,70.45810112368433,30.235188003935416,76.62528292575757
1976,8.550282932748352,70.91339773724049,29.14161438342566,77.73420203524863
1977,9.788880992650462,63.64352538026865,28.811984130789273,66.85546049589556
1978,11.298687436342002,57.8634732892825,27.6001798862027,61.549355133367634
1979,12.883558553249339,64.12576154068823,29.866674754369694,69.53630192037384
1980,10.056086339182327,47.49810963170511,23.883939393364916,54.59653202285
1981,12.17087905296165,64.37586269760375,30.28989076453074,63.829204134587464
1982,16.608442447856188,57.88557148682323,31.58166136013556,65.32612114862373
1983,14.032422303101646,59.477928367428014,30.578472712475584,65.73998086611672
1984,14.639495755587026,58.88821453278562,29.15515488365072,68.8794094774081
1985,13.657122356293021,64.67775794693343,34.31631073944289,60.97723695713878
1986,16.065360403975152,63.70516998787969,31.482967906954418,64.89529445511903
1987,12.984920572880943,61.16979249170053,35.219856149941585,63.20947159668435
1988,13.999296431716127,62.105944639700674,33.04106590906836,58.41043158107317
1989,14.828635027860129,72.45519760469813,35.36789529940352,76.35808668300864
1990,11.07169653368205,67.95790579808181,32.094232784898644,70.68916608835957
1991,12.459727315864642,61.93353970878494,28.788601139274633,64.8363205728945
1992,14.067451297304743,50.79604805723006,29.858137707232686,61.004833772711116
1993,14.566078024685522,58.30216315191399,32.42690184551642,64.13305841291711
1994,13.498719263432777,66.41655009939485,32.68199721185218,67.17229282567915
1995,14.033316758950557,65.76099064642428,35.06608381567358,70.20474115987882
1996,16.71457002570529,67.06324313476235,33.48502505956214,71.60897494031578
1997,13.88901797232135,61.181127806634095,32.71709033184078,64.74558053482342
1998,16.319208827289486,67.30589617076585,37.23200321303637,72.36714070008748
1999,16.13485947318999,69.79976315122076,36.93023135965246,69.82485214060034
2000,16.026439137200367,58.524848904574206,31.670049579379953,55.90000920736535
2001,12.138557774785971,62.98001258701847,31.66033249100953,75.40360466536147
2002,15.431216312868385,60.01645833915751,28.60450353108044,50.28627323775016
2003,14.15248866351982,66.71575104443812,34.98841846654482,67.19192757628561
2004,10.497467951845273,64.99591958775103,31.9384589494838,70.70255545576718
2005,12.350880727303855,56.41157948254201,30.779038753094454,59.28965666733908
2006,15.847489045346464,63.07824418671032,37.451778742136895,57.59219913428117
2007,14.234654338170374,59.07643237259489,30.33308538925264,62.70913298246274
2008,16.064927282050615,63.15014769399653,32.312781047428416,64.25909336992983
2009,15.758462951571063,57.9978922449019,31.960144073874485,61.897185965252845
2010,13.952114973220239,62.85995263499162,30.27921283980545,71.97528768608868
2011,16.587369975178436,58.65916410688873,32.58003637787993,63.49572910083316
2012,19.16722350724736,69.26604624582609,39.05207112988837,69.41109047290108
2013,11.522712944365237,70.66362564989554,33.89147948997404,77.93370061291358
2014,15.20533018133681,61.53820907776926,32.20720224901287,68.19030947551217
2015,14.88214674764145,65.19530770474978,32.00966136225819,78.09716667033449
2016,20.766728925658313,60.18647204387789,34.44620471468628,62.14346046715672
2017,10.723699001522247,49.754572889705,22.80580382100416,64.51327277925215
2018,16.09796683086338,64.49962649932392,32.03848294017447,65.39594291096684
