season,month,0
25,11,88.712204
25,12,23.813114
26,1,17.95214
26,2,20.274515
26,3,27.901964
26,4,37.97494
26,5,49.997517
26,6,65.454185
26,7,83.13075
26,8,100.235054
26,9,106.98727
26,10,109.09169
26,11,80.87443
26,12,24.189447
27,1,16.327011
27,2,22.844425
27,3,30.801561
27,4,41.757343
27,5,54.86377
27,6,75.52726
27,7,92.010445
27,8,105.14779
27,9,125.44796
27,10,122.0876
27,11,98.755455
27,12,32.395035
28,1,19.05731
28,2,23.26746
28,3,36.282635
28,4,51.14522
28,5,69.93318
28,6,88.44764
28,7,102.04436
28,8,120.33458
28,9,132.61885
28,10,123.25386
28,11,87.49558
28,12,26.380714
29,1,20.692713
29,2,27.52983
29,3,36.600956
29,4,45.799095
29,5,67.19163
29,6,92.81222
29,7,115.25512
29,8,134.58073
29,9,148.70244
29,10,134.9001
29,11,53.37465
29,12,17.368671
30,1,21.82452
30,2,27.932194
30,3,39.883526
30,4,52.437996
30,5,70.12068
30,6,91.70519
30,7,116.630196
30,8,125.39955
30,9,141.34203
30,10,130.34369
30,11,102.419014
30,12,38.78696
31,1,25.539227
31,2,34.860775
31,3,43.778233
31,4,57.12093
31,5,75.84578
31,6,104.05074
31,7,126.77287
31,8,140.03358
31,9,142.20418
31,10,139.1512
31,11,93.9668
31,12,22.031916
32,1,15.289599
32,2,19.434208
32,3,29.034042
32,4,38.477253
32,5,50.944633
32,6,56.5202
32,7,75.60222
32,8,98.842155
32,9,110.31026
32,10,86.99122
32,11,52.964787
32,12,23.422201
33,1,22.045828
33,2,32.164776
33,3,39.960712
33,4,54.361534
33,5,70.27033
33,6,82.19251
33,7,105.581276
33,8,126.0591
33,9,137.76637
33,10,136.38055
33,11,108.08589
33,12,45.565533
34,1,29.62083
34,2,38.822285
34,3,48.05371
34,4,62.207836
34,5,81.858505
34,6,100.69826
34,7,113.48795
34,8,135.76387
34,9,137.55452
34,10,128.28949
34,11,92.906166
34,12,47.953888
35,1,28.836288
35,2,26.39925
35,3,34.565792
35,4,46.474453
35,5,57.27616
35,6,73.261894
35,7,89.53588
35,8,108.098015
35,9,114.96868
35,10,99.7229
35,11,48.185658
35,12,22.135023
36,1,19.279966
36,2,24.126041
36,3,35.5688
36,4,49.221752
36,5,72.706764
36,6,94.198326
36,7,111.65413
36,8,129.56792
36,9,144.15462
36,10,146.51529
36,11,112.71865
36,12,40.886433
37,1,21.248098
37,2,26.232391
37,3,28.506588
37,4,37.17705
37,5,47.34621
37,6,61.12405
37,7,74.50381
37,8,79.6175
37,9,67.29538
37,10,66.55669
37,11,42.118385
37,12,24.56565
38,1,18.932306
38,2,23.213531
38,3,34.9412
38,4,45.24547
38,5,62.5418
38,6,78.33937
38,7,99.9467
38,8,121.18692
38,9,129.17035
38,10,129.76251
38,11,88.6571
38,12,14.541411
39,1,16.672092
39,2,25.01416
39,3,34.28448
39,4,45.425117
39,5,63.525238
39,6,83.45078
39,7,104.36198
39,8,138.99289
39,9,151.92165
39,10,137.45442
39,11,92.098915
39,12,26.08446
40,1,15.326288
40,2,26.49072
40,3,38.182278
40,4,55.043125
40,5,68.307915
40,6,83.72872
40,7,90.64942
40,8,115.30007
40,9,119.47777
40,10,120.6217
40,11,76.621376
40,12,31.464989
41,1,17.134583
41,2,24.926897
41,3,36.276028
41,4,53.502384
41,5,82.61018
41,6,106.653336
41,7,125.91458
41,8,129.19492
41,9,141.452
41,10,96.505844
41,11,72.264626
41,12,28.235285
42,1,20.04351
42,2,25.133284
42,3,33.068253
42,4,46.70453
42,5,65.33943
42,6,87.38903
42,7,108.286125
42,8,125.31921
42,9,128.55136
42,10,132.59233
42,11,80.58628
42,12,42.333282
43,1,19.660889
43,2,26.349453
43,3,35.890144
43,4,49.695858
43,5,70.3131
43,6,91.5737
43,7,115.84686
43,8,133.50737
43,9,137.9379
43,10,129.01135
43,11,85.36097
43,12,42.802616
44,1,18.97747
44,2,22.324594
44,3,31.746786
44,4,39.37746
44,5,55.605453
44,6,71.00901
44,7,87.50046
44,8,95.82496
44,9,111.46519
44,10,117.01002
44,11,65.58817
44,12,24.14198
45,1,14.569706
45,2,18.79362
45,3,26.728563
45,4,39.947975
45,5,53.613266
45,6,83.69918
45,7,103.89487
45,8,124.43355
45,9,132.53056
45,10,130.1001
45,11,104.56095
45,12,35.614296
46,1,16.866577
46,2,23.396986
46,3,30.556204
46,4,41.672096
46,5,62.377937
46,6,77.75486
46,7,93.2756
46,8,100.44385
46,9,105.96335
46,10,106.28488
46,11,84.476364
46,12,35.149746
47,1,26.34282
47,2,39.896164
47,3,46.215263
47,4,60.64802
47,5,79.22952
47,6,110.23354
47,7,130.32573
47,8,145.29471
47,9,148.7831
47,10,138.14053
47,11,96.224365
47,12,17.805185
48,1,13.8026495
48,2,20.949755
48,3,32.448112
48,4,47.81515
48,5,60.897934
48,6,81.96199
48,7,111.764786
48,8,139.15164
48,9,144.49976
48,10,128.92952
48,11,123.09336
48,12,34.34773
49,1,16.166971
49,2,21.54738
49,3,33.83952
49,4,45.73524
49,5,62.854126
49,6,78.251305
49,7,108.71848
49,8,123.33329
49,9,125.43721
49,10,130.70622
49,11,109.680954
49,12,37.416348
50,1,25.880621
50,2,32.216187
50,3,41.456795
50,4,53.06843
50,5,67.04263
50,6,86.92466
50,7,109.74704
50,8,132.45363
50,9,145.01888
50,10,132.42998
50,11,115.806526
50,12,55.843884
51,1,26.26633
51,2,36.315468
51,3,44.191654
51,4,61.358696
51,5,70.38441
51,6,85.56092
51,7,105.58275
51,8,124.06411
51,9,137.12184
51,10,127.74439
51,11,85.657745
51,12,22.783888
52,1,14.476542
52,2,17.558157
52,3,25.836908
52,4,36.486183
52,5,46.43003
52,6,62.76258
52,7,89.76894
52,8,110.86374
52,9,129.49506
52,10,121.00843
52,11,64.08056
52,12,41.193615
53,1,19.936176
53,2,28.796688
53,3,36.44361
53,4,54.18853
53,5,72.50912
53,6,91.38765
53,7,106.53051
53,8,132.4708
53,9,146.19704
53,10,131.66397
53,11,92.088875
53,12,47.995354
