time,DJF,JJA,MAM,SON
1965,21.152863530466835,101.51368915001062,56.52874212357924,100.36416915565916
1966,18.275013434295705,104.10049034193507,52.78793288522297,101.22502549975798
1967,20.20422514211926,105.71494706340087,56.060984841067274,104.87980402474768
1968,19.699761710560804,100.95330458514066,55.46736785189256,93.44326148254682
1969,19.357863261003665,103.42433687445548,52.19229972847185,97.39914170413289
1970,21.35986372754283,103.99945739006252,50.54401618304045,99.78047404108594
1971,20.35491478527017,124.00812894773627,55.61536551271598,119.57272655319385
1972,22.63483466809988,107.04307603208144,57.241413785109934,106.52174572407296
1973,18.683690096209705,109.40481376322752,59.43311594392486,99.06797006598168
1974,19.773622678736622,109.0262639401278,53.81709630703255,104.47700318163088
1975,20.145835141772746,120.74167900591722,54.87521864542631,102.82930474604768
1976,19.139809896130654,136.28484567037788,57.51774955682913,130.68751724852913
1977,15.447720331107035,118.48305472344168,56.52815028228053,108.35466438927342
1978,22.71437246005303,101.33459270789574,52.90060567745872,100.50915107281456
1979,20.647663697012064,109.24320045938971,54.06580154328262,103.92760118626546
1980,20.840078297962275,101.81553121123977,53.28218409021586,102.84145196216052
1981,20.273169889364453,98.83225096904312,51.243192187092234,103.98715422688308
1982,26.10889691903689,115.0553115805388,59.99169166091688,113.189808725645
1983,21.117821400551037,102.43709561179925,54.063683760192454,108.12630353305731
1984,24.167336428067284,102.57521272746187,52.05438810428751,111.51140405363792
1985,20.942746397005852,101.99836819225705,52.22290340979134,108.10758357794948
1986,27.476173745988373,99.80646603262328,54.85049995451225,102.22263292490021
1987,24.779062259239875,113.49052007456017,58.138694381779324,116.38491767398688
1988,23.76350458906289,104.05763783784558,56.56642170083075,101.19740842012425
1989,22.108252905372343,103.36177115744142,59.8484947095944,102.16530599987222
1990,24.871902922056425,106.1390417714352,59.17590585779701,98.13271698471677
1991,23.100605325063665,92.26914648967352,53.544387471897075,93.30403486364663
1992,23.517322273316037,96.93500532728105,54.04585676273433,97.7070885978817
1993,20.29043439897828,105.73837080508751,54.93666428869552,104.63603802575157
1994,21.9318290907906,100.17741317709249,55.737910221046,94.71410724273403
1995,21.65120161547556,98.04424985203629,52.98460694246001,97.7159779209123
1996,27.054914870311364,105.06053682857538,59.840912860590315,101.64096033133724
1997,22.39179522744892,109.96270464782549,58.58459013286778,108.85702772559519
1998,21.029000356482577,114.84240739748235,58.682864360617906,110.03924656762742
1999,27.126978162381494,121.57499333206628,61.51556991316088,112.57869103446738
2000,31.966966606803535,106.58341753154417,63.40124715846921,101.96008915803556
2001,22.385733218081892,112.65789411571994,54.44009027432775,116.26918880605346
2002,28.843562127081086,105.16557037028161,56.43817134897051,99.99240523376506
2003,23.795294679799003,99.49449135519643,52.916058169417,100.95727609970601
2004,26.911270847866188,103.5659890108408,58.19265373103834,102.18708890204384
2005,22.72942790491692,106.26504994978946,52.978396348971025,108.69152305729348
2006,19.313440099857942,113.9985726143439,56.06729511126728,116.3078559127073
2007,24.969240827711264,109.70846203424986,57.27870399188409,113.22284244075932
2008,26.30811728290575,112.66101957061635,60.156638289700446,117.64871464207624
2009,24.34286999484203,113.53633314527137,58.89157561775139,108.37282134494204
2010,20.943951896326446,110.98639582318174,54.88964135390308,105.87643158636284
2011,27.88682984115071,106.57345349064838,61.10245806174715,104.1295163987408
2012,30.3459475824062,114.12292648708966,61.62735505010945,105.63475652964524
2013,23.594847222236258,106.37279339363185,57.74348095602195,100.0059593084987
2014,22.03418923544783,101.68580507193394,58.46444431194109,93.98008833319095
2015,27.983045501280632,106.77435406313009,55.70180412174801,112.84311793775679
2016,28.896698008665624,130.8076618456405,65.23795893668317,115.83331376093172
2017,23.976227746878106,107.47323405636023,56.81364086071727,103.67179548203679
2018,23.833014043099933,104.57289068825791,58.73251553668485,102.01504725818252
