season,month,0
25,11,86.99764
25,12,39.751045
26,1,30.053478
26,2,40.6003
26,3,50.746284
26,4,65.002335
26,5,81.65767
26,6,100.39122
26,7,116.510414
26,8,127.867546
26,9,136.06142
26,10,139.7972
26,11,96.517235
26,12,42.479004
27,1,29.344313
27,2,40.911934
27,3,48.31225
27,4,62.030228
27,5,80.08714
27,6,112.00365
27,7,146.183
27,8,184.5648
27,9,178.17572
27,10,147.36494
27,11,91.33665
27,12,36.68812
28,1,28.014574
28,2,36.075214
28,3,46.70353
28,4,61.800797
28,5,81.93287
28,6,104.093765
28,7,125.50158
28,8,146.59421
28,9,162.1481
28,10,147.43561
28,11,88.627
28,12,49.1728
29,1,37.305347
29,2,44.5253
29,3,54.103065
29,4,66.1305
29,5,81.436554
29,6,101.83516
29,7,121.242714
29,8,151.27048
29,9,170.2639
29,10,166.28581
29,11,97.84181
29,12,41.879307
30,1,35.21296
30,2,39.271564
30,3,49.012486
30,4,61.406162
30,5,81.54768
30,6,102.32942
30,7,130.31572
30,8,165.35384
30,9,156.57901
30,10,130.23343
30,11,94.28594
30,12,46.74715
31,1,35.245304
31,2,35.93934
31,3,50.11259
31,4,64.80675
31,5,82.194145
31,6,104.68086
31,7,133.72432
31,8,135.41507
31,9,147.61812
31,10,155.87212
31,11,83.1206
31,12,41.739006
32,1,31.67015
32,2,41.842766
32,3,51.091507
32,4,63.854225
32,5,82.490234
32,6,102.94671
32,7,130.13356
32,8,156.85497
32,9,152.16875
32,10,170.277
32,11,114.600945
32,12,37.803326
33,1,40.22645
33,2,44.429653
33,3,51.54086
33,4,65.63279
33,5,86.90428
33,6,121.30954
33,7,146.79184
33,8,159.44115
33,9,203.77525
33,10,200.72896
33,11,112.217674
33,12,48.444393
34,1,39.812725
34,2,44.52295
34,3,53.71334
34,4,65.63781
34,5,81.91856
34,6,99.60579
34,7,122.16037
34,8,132.71686
34,9,173.09404
34,10,157.5877
34,11,99.165726
34,12,53.511856
35,1,41.948536
35,2,44.312824
35,3,55.41891
35,4,69.11086
35,5,86.59727
35,6,103.72161
35,7,122.02884
35,8,155.8049
35,9,180.64938
35,10,186.08478
35,11,112.98107
35,12,39.855835
36,1,35.744686
36,2,38.693707
36,3,51.537163
36,4,65.63096
36,5,85.968925
36,6,106.49479
36,7,134.97466
36,8,157.92741
36,9,158.35501
36,10,148.40422
36,11,95.606415
36,12,47.946354
37,1,34.273888
37,2,44.785748
37,3,54.435646
37,4,66.17371
37,5,83.52807
37,6,105.241455
37,7,129.19226
37,8,146.19469
37,9,171.19688
37,10,163.41652
37,11,109.144844
37,12,50.783657
38,1,32.40569
38,2,34.836903
38,3,46.665527
38,4,65.74118
38,5,91.17167
38,6,128.03188
38,7,166.69223
38,8,187.75546
38,9,192.85547
38,10,171.89009
38,11,116.5974
38,12,46.233917
39,1,40.938034
39,2,44.8659
39,3,55.546772
39,4,65.60558
39,5,85.7099
39,6,107.211555
39,7,136.98174
39,8,185.5539
39,9,232.16803
39,10,189.61148
39,11,111.36128
39,12,46.40536
40,1,32.498184
40,2,41.68409
40,3,52.12533
40,4,64.14446
40,5,81.387695
40,6,114.149025
40,7,192.49799
40,8,189.15927
40,9,247.49458
40,10,195.45267
40,11,111.81572
40,12,39.38135
41,1,31.027615
41,2,38.993847
41,3,46.481853
41,4,60.338543
41,5,80.37902
41,6,108.290085
41,7,132.58131
41,8,173.57161
41,9,217.90541
41,10,199.59445
41,11,86.29925
41,12,40.372536
42,1,37.92208
42,2,45.53876
42,3,54.750603
42,4,67.12827
42,5,83.56715
42,6,97.245964
42,7,120.499306
42,8,160.29024
42,9,211.05618
42,10,221.33582
42,11,122.83438
42,12,51.097416
43,1,39.078655
43,2,46.96625
43,3,56.268585
43,4,68.3833
43,5,82.64398
43,6,101.19179
43,7,124.01463
43,8,146.87796
43,9,177.0685
43,10,204.168
43,11,101.28488
43,12,57.95826
44,1,37.601555
44,2,45.48032
44,3,58.58804
44,4,71.58225
44,5,85.03541
44,6,98.20776
44,7,116.596596
44,8,150.50479
44,9,201.14537
44,10,159.85175
44,11,98.84605
44,12,41.910175
